FILENAME,IDENTITY
6 – Mercaptopurine.png, 6 – Mercaptopurine
(a) Benzyl Penicillin.png, (a) Benzyl Penicillin
Acetazolamide.png, Acetazolamide
Aceterphin hydrochloride.png, Aceterphin hydrochloride
Acetyl dihydrocodeine.png, Acetyl dihydrocodeine
Acetyl methadol.png, Acetyl methadol
Active Ingredients of Marijuana.png, Active Ingredients of Marijuana
Allopurinol.png, Allopurinol
Allyl prodine.png, Allyl prodine
Alpha acetyl methadol.png, Alpha acetyl methadol
Alpha meprodine.png, Alpha meprodine
Alpha methadol.png, Alpha methadol
Alpha prodine.png, Alpha prodine
Alprazolam.png, Alprazolam
Alyl Isopropyle Acetyl Uuria.png, Alyl Isopropyle Acetyl Uuria
Amayl Nitrite.png, Amayl Nitrite
Amipramine.png, Amipramine
Amobarbital.png, Amobarbital
Amphetamin.png, Amphetamin
Amphotericin B.png, Amphotericin B
Antigen.png, Antigen
Anti Rabies Serum.png, Anti Rabies Serum
Antivenom.png, Antivenom
(a) Propanolol.png, (a) Propanolol
Azapentine.png, Azapentine
Azathioprine.png, Azathioprine
Bancomycin.png, Bancomycin
Barbital.png, Barbital
(b) Benzathine Benzyl Penicillin.png, (b) Benzathine Benzyl Penicillin
(b) Chlortetracycline.png, (b) Chlortetracycline
Bendrofluazide.png, Bendrofluazide
Benzithidine.png, Benzithidine
Benzocaine.png, Benzocaine
Benzyl morphine.png, Benzyl morphine
Berium or Its compound except Berium sulphate.png, Berium or Its compound except Berium sulphate
Betamethasone.png, Betamethasone
(b) Isopreterenol.png, (b) Isopreterenol
Bitablockers.png, Bitablockers
Bitamethadole.png, Bitamethadole
Brethilium Tosilate.png, Brethilium Tosilate
Bufetenin.png, Bufetenin
Buprenorphine.png, Buprenorphine
Busulphan.png, Busulphan
Butyl cloral Hydrate.png, Butyl cloral Hydrate
Canamycin.png, Canamycin
Carbomycin.png, Carbomycin
Carbutamide.png, Carbutamide
Cartisone.png, Cartisone
Chloramphenicol.png, Chloramphenicol
Chlorisandamin chloride.png, Chlorisandamin chloride
Chloroform.png, Chloroform
Chloromethene Hydrochloride.png, Chloromethene Hydrochloride
Chlorothiazide.png, Chlorothiazide
Chlor Promazine.png, Chlor Promazine
Cilocine.png, Cilocine
Cilocybin.png, Cilocybin
Clonazepam.png, Clonazepam
Cloral Hydrate.png, Cloral Hydrate
Cloral Pharmamide.png, Cloral Pharmamide
Cloro Hexadol.png, Cloro Hexadol
Codeine Methyl Bromide.png, Codeine Methyl Bromide
Codoxim.png, Codoxim
(c) Procane Benzyl Penicillin.png, (c) Procane Benzyl Penicillin
(c) Sotalol.png, (c) Sotalol
Cyclopenthiazide.png, Cyclopenthiazide
Cyclophosphamide.png, Cyclophosphamide
Cyprine phine.png, Cyprine phine
Dapsone.png, Dapsone
Desomorphine.png, Desomorphine
Dexamethasone.png, Dexamethasone
Dextran 70.png, Dextran 70
Dextro Moramide.png, Dextro Moramide
Dextropropoxyphene.png, Dextropropoxyphene
Dhatura.png, Dhatura
Diamprenmide.png, Diamprenmide
Diethyl thyambutine.png, Diethyl thyambutine
Digitalics and Its Glycosides.png, Digitalics and Its Glycosides
Dihydro Codeine.png, Dihydro Codeine
Dihydro Codeinone.png, Dihydro Codeinone
Dihydro hydroxy Codeinone.png, Dihydro hydroxy Codeinone
Dihydro morphine.png, Dihydro morphine
Dihydroxy Dyhydro morphine hydrochloride.png, Dihydroxy Dyhydro morphine hydrochloride
Di–isopropyle Flurophosponate.png, Di–isopropyle Flurophosponate
Dimenoxadole.png, Dimenoxadole
Dimethyl Thyambutine.png, Dimethyl Thyambutine
Dioxaphetyle Butieret.png, Dioxaphetyle Butieret
Dipipanone.png, Dipipanone
(d) Phenoxymethylpenicilin.png, (d) Phenoxymethylpenicilin
(e) cloxacillin.png, (e) cloxacillin
Edrenocarticotropic Hermons.png, Edrenocarticotropic Hermons
Epinephrine.png, Epinephrine
Erythrityle Tetranitrate.png, Erythrityle Tetranitrate
Erythromycin.png, Erythromycin
Ethambutol.png, Ethambutol
Ethchlor Vinyl.png, Ethchlor Vinyl
Ether.png, Ether
Ethinamet.png, Ethinamet
Ethinylestradiol.png, Ethinylestradiol
Ethosoximide.png, Ethosoximide
Ethyl methyl Thyambutine.png, Ethyl methyl Thyambutine
Ethylmorphine.png, Ethylmorphine
Etomorphine.png, Etomorphine
Evogen.png, Evogen
(f) Ampicillin.png, (f) Ampicillin
Faramycitine.png, Faramycitine
Flurazepam.png, Flurazepam
Frusemide.png, Frusemide
Gelsimium Alcalide.png, Gelsimium Alcalide
Gentamycin.png, Gentamycin
Glutethiamide.png, Glutethiamide
Glutethimide.png, Glutethimide
Glyceryl Trinitrate.png, Glyceryl Trinitrate
Griseofulvin.png, Griseofulvin
Guanidine.png, Guanidine
Halothane.png, Halothane
Hermons :–.png, Hermons :–
Heroine or Diacetyl morphine.png, Heroine or Diacetyl morphine
Hexocyclian Methyl Sulphate.png, Hexocyclian Methyl Sulphate
Hydrocartisone.png, Hydrocartisone
Hydrolazine Injection.png, Hydrolazine Injection
Hydro morphone.png, Hydro morphone
Hydroxizine.png, Hydroxizine
Hydroxy pethidine.png, Hydroxy pethidine
Iletarium.png, Iletarium
Imetine.png, Imetine
Insulin.png, Insulin
Iopanoic Acid.png, Iopanoic Acid
Iserine.png, Iserine
Isocarboxazid.png, Isocarboxazid
Isoniazid.png, Isoniazid
Isonicotinic Acid Hydrozide and It’s Derivative.png, Isonicotinic Acid Hydrozide and It’s Derivative
Iso prenaline.png, Iso prenaline
Lead and it’s compound.png, Lead and it’s compound
Leaocane.png, Leaocane
Levarphanole.png, Levarphanole
Levodopa.png, Levodopa
Levomoramide.png, Levomoramide
Levo phenacylemorphan.png, Levo phenacylemorphan
Lobelia Alcolide.png, Lobelia Alcolide
Lodexium.png, Lodexium
Lorazepam.png, Lorazepam
Luracine.png, Luracine
Lycergic Acid Amide.png, Lycergic Acid Amide
Lycergic Acid.png, Lycergic Acid
Medazepam.png, Medazepam
Meprobamate.png, Meprobamate
Mercury and It’s compound.png, Mercury and It’s compound
Mescyalin.png, Mescyalin
Metamezole.png, Metamezole
Metamorphine.png, Metamorphine
Methadone.png, Methadone
Methamphetamin.png, Methamphetamin
Methohexital.png, Methohexital
Methosoximide.png, Methosoximide
Methotrexate.png, Methotrexate
Methyl Chlorothiazide.png, Methyl Chlorothiazide
Methyl dihydromerphine.png, Methyl dihydromerphine
Methyldopa.png, Methyldopa
Methyl phenidet.png, Methyl phenidet
Methyl Pheno Barbital.png, Methyl Pheno Barbital
Midazolam.png, Midazolam
M–Methyl–3 pipradyle Bengilet.png, M–Methyl–3 pipradyle Bengilet
Monomustin Hydrochloride.png, Monomustin Hydrochloride
Moramide.png, Moramide
Morphine Methyl Bromide.png, Morphine Methyl Bromide
Morphine Methyl Salphonet.png, Morphine Methyl Salphonet
Morphine.png, Morphine
Mustin Hydrochloride.png, Mustin Hydrochloride
Myrophine.png, Myrophine
Naracymethadol.png, Naracymethadol
Narcodeine.png, Narcodeine
Narmethadone.png, Narmethadone
Narmorphine.png, Narmorphine
Navobiocin.png, Navobiocin
Neostigmine.png, Neostigmine
N–ethyl–3 piparidyle Benzilet.png, N–ethyl–3 piparidyle Benzilet
Nico morphine.png, Nico morphine
Nitrazepam.png, Nitrazepam
Nitrofurantoin.png, Nitrofurantoin
Nitrous Oxide.png, Nitrous Oxide
Norethisterone.png, Norethisterone
Noxmomica and Its Alcolides.png, Noxmomica and Its Alcolides
Nullophine.png, Nullophine
Olindomycin.png, Olindomycin
Opium.png, Opium
Orthocaine.png, Orthocaine
Oxazolam.png, Oxazolam
Oxazolidine.png, Oxazolidine
Oxiphen Butazone.png, Oxiphen Butazone
Oxitocin.png, Oxitocin
Oxymorphone.png, Oxymorphone
Paraldihyde.png, Paraldihyde
Paraleadoxin.png, Paraleadoxin
Paramethadione.png, Paramethadione
Paraminosolisilic Acid.png, Paraminosolisilic Acid
Paramomycin.png, Paramomycin
Pecazine.png, Pecazine
Pempidine.png, Pempidine
Penicillin and its penicillins.png, Penicillin and its penicillins
Petrichloral.png, Petrichloral
Peyot.png, Peyot
Phenadoxon.png, Phenadoxon
Phenazocine.png, Phenazocine
Phencyclidine.png, Phencyclidine
Phenmetrazine.png, Phenmetrazine
Phennformin.png, Phennformin
Pheno Barbital.png, Pheno Barbital
Phenomorphan.png, Phenomorphan
Phenoperidine.png, Phenoperidine
Phensoximide.png, Phensoximide
Phentolamine.png, Phentolamine
Phenyl Acetyl Urea.png, Phenyl Acetyl Urea
Phenyl Butazone.png, Phenyl Butazone
Phenyl Cinchoninic Acid.png, Phenyl Cinchoninic Acid
Phenylzine.png, Phenylzine
Phethidene.png, Phethidene
Pholcodine.png, Pholcodine
Pilocarpine.png, Pilocarpine
Piminodine.png, Piminodine
Piritramide.png, Piritramide
Polytheouracil.png, Polytheouracil
Polythiazide.png, Polythiazide
Pomegrenet Alcolides.png, Pomegrenet Alcolides
Prazepam.png, Prazepam
Primaquine.png, Primaquine
Probenicid.png, Probenicid
Procainamide.png, Procainamide
Procaine.png, Procaine
Prochloro Perazine.png, Prochloro Perazine
Proheptazin.png, Proheptazin
Promethazine Hydrochloride.png, Promethazine Hydrochloride
Propoxyphine.png, Propoxyphine
Protamine Sulphate.png, Protamine Sulphate
Provazine.png, Provazine
Pyridostigmine.png, Pyridostigmine
Pyrivinium.png, Pyrivinium
Pyrizinamide.png, Pyrizinamide
Quinidine.png, Quinidine
Raolphia Alcolides.png, Raolphia Alcolides
Recimeatharphan.png, Recimeatharphan
Recimoramide.png, Recimoramide
Rifampin.png, Rifampin
Sodium Amidotrizoate.png, Sodium Amidotrizoate
Spironolactone.png, Spironolactone
Spyromycin.png, Spyromycin
Stilbocaptate.png, Stilbocaptate
Stilboglucogate.png, Stilboglucogate
Streptomycin.png, Streptomycin
Sulfameopyrazin.png, Sulfameopyrazin
Sulfamethoxazole.png, Sulfamethoxazole
Sulfamethoxine.png, Sulfamethoxine
Sulfamethoxy Pyridizine.png, Sulfamethoxy Pyridizine
Sulfasalazine.png, Sulfasalazine
Sulfasomizole.png, Sulfasomizole
Sulfaurazole.png, Sulfaurazole
Sulphone diethyl Methene.png, Sulphone diethyl Methene
Sulphone Methene.png, Sulphone Methene
Suxamethonium.png, Suxamethonium
Tetracycline and its Derivatives.png, Tetracycline and its Derivatives
Thalium.png, Thalium
Theopental Sodium.png, Theopental Sodium
Theo Propazet.png, Theo Propazet
Thiobendazole.png, Thiobendazole
Thyroid Extract & Thyroxin.png, Thyroid Extract & Thyroxin
Toxin.png, Toxin
Triamipramine.png, Triamipramine
Triamterene.png, Triamterene
Tribromethanol.png, Tribromethanol
Triethinyl Thayo phosphoramide.png, Triethinyl Thayo phosphoramide
Trihexyphenidyl.png, Trihexyphenidyl
Trimeperidine.png, Trimeperidine
Tropa cocane.png, Tropa cocane
Troxidone.png, Troxidone
Tuberculin.png, Tuberculin
Vaso precin.png, Vaso precin
Verapamil Injection.png, Verapamil Injection
Veratram Alcolide.png, Veratram Alcolide
Vinblastine.png, Vinblastine
Vincristine.png, Vincristine
Viomycin.png, Viomycin
Vitamin D. as Single preparation.png, Vitamin D. as Single preparation
Wacitracin.png, Wacitracin
Warfarin.png, Warfarin
Yohimba Alcolide.png, Yohimba Alcolide
Zinc and it’s compound.png, Zinc and it’s compound
